Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
mgnify-amplicon-taxonomic-summary-tables/main	WorkflowHub	1269	https://workflowhub.eu/workflows/1269?version=2	Rand Zoabi		2025-03-26	2026-05-14	2	2	10.0	query_tabular, Grouping1, filter_tabular, tp_awk_tool, collection_column_join			MIT		Intergalactic Workflow Commission (IWC)	True	False
clinicalmp-discovery/main	WorkflowHub	1225	https://workflowhub.eu/workflows/1225?version=1	Subina Mehta		2024-12-10	2026-05-13	1	1	24.0	query_tabular, fasta_merge_files_and_filter_unique_sequences, filter_tabular, Cut1, Grouping1, fasta2tab, dbbuilder, Filter1, maxquant, Grep1, ident_params, peptide_shaker, Remove beginning1, fasta_cli, msconvert, tp_cat, search_gui	Imputation, Formatting, Clustering, Heat map generation, Principal component plotting, Protein quantification, Statistical calculation, Filtering, Standardisation and normalisation, Visualisation		CC-BY-4.0		Intergalactic Workflow Commission (IWC)	True	False
clinicalmp-data-interpretation/main	WorkflowHub	1219	https://workflowhub.eu/workflows/1219?version=1	GalaxyP		2024-11-26	2026-05-13	1	1	6.0	msstatstmt, Grep1, unipept	Prediction and recognition, Visualisation		CC-BY-4.0		Intergalactic Workflow Commission (IWC)	True	False
clinicalmp-verification/main	WorkflowHub	1218	https://workflowhub.eu/workflows/1218?version=1	Pratik Jagtap		2024-11-26	2026-05-13	1	1	19.0	collapse_dataset, query_tabular, fasta_merge_files_and_filter_unique_sequences, Grouping1, dbbuilder, Filter1, pepquery2, uniprotxml_downloader, Cut1, Remove beginning1, tp_cat			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	True	False
clinicalmp-database-generation/main	WorkflowHub	1216	https://workflowhub.eu/workflows/1216?version=1	Subina Mehta		2024-11-23	2026-05-13	1	1	3.0	fasta_merge_files_and_filter_unique_sequences, metanovo	de Novo sequencing, Tag-based peptide identification, Expression analysis, Protein identification, Target-Decoy		CC-BY-4.0		Intergalactic Workflow Commission (IWC)	True	False
clinicalmp-quantitation/main	WorkflowHub	1177	https://workflowhub.eu/workflows/1177?version=1	GalaxyP		2024-10-07	2026-05-14	1	1	7.0	"extract peptides
Cut1, Quantified-Proteins
Grouping1, extracting microbial Peptides
Grep1, extract proteins
Cut1, extracting microbial Proteins
Grep1, maxquant, Quantified-Peptides
Grouping1"	Imputation, Clustering, Heat map generation, Principal component plotting, Protein quantification, Statistical calculation, Standardisation and normalisation, Visualisation		CC-BY-4.0		Intergalactic Workflow Commission (IWC)	True	False
bacterial-genome-assembly/main	WorkflowHub	1043	https://workflowhub.eu/workflows/1043?version=12	Abromics None, Pierre Marin, Clea Siguret	abromics, assembly, fastq, genomics, bacterial-genomics, paired-end, quality	2025-12-04	2026-05-13	12	12	5.0	tooldistillator_summarize, bandage_info, shovill, tooldistillator, bandage_image	Genome assembly, Sequence assembly visualisation, Data parsing		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
quality-and-contamination-control/main	WorkflowHub	1052	https://workflowhub.eu/workflows/1052?version=11	ABRomics None, Pierre Marin, Clea Siguret	abromics, fastq, genomics, bacterial-genomics, paired-end, quality, taxonomy-assignment, trimming	2025-06-19	2026-05-14	11	11	8.0	tooldistillator_summarize, __ZIP_COLLECTION__, fastp, recentrifuge, __UNZIP_COLLECTION__, tooldistillator, kraken2, est_abundance	Expression analysis, Cross-assembly, Data parsing, Taxonomic classification, Statistical calculation, Sequencing quality control, Sequence contamination filtering		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
qiime2-III-VI-downsteam/QIIME2-III-V-Phylogeny-Rarefaction-Taxonomic-Analysis	WorkflowHub	1090	https://workflowhub.eu/workflows/1090?version=2	Debjyoti Ghosh		2024-11-26	2026-05-14	2	2	3.0	Taxonomic analysis, Rarefaction, Phylogenetic tree for diversity analysis			MIT		Intergalactic Workflow Commission (IWC)	True	False
gene-based-pathogen-identification/main	WorkflowHub	1062	https://workflowhub.eu/workflows/1062?version=1	Engy Nasr, Bérénice Batut, Paul Zierep		2024-06-26	2026-05-13	1	1	15.0	compose_text_param, __BUILD_LIST__, abricate, flye, fasta2tab, bandage_image, medaka_consensus_pipeline, tp_find_and_replace, split_file_to_collection, tab2fasta, param_value_from_file, collection_element_identifiers	De-novo assembly, Cross-assembly, Base-calling, Mapping assembly, Variant calling, Sequence assembly visualisation, Sequence assembly, Genome assembly, Antimicrobial resistance prediction		MIT	10.48546/workflowhub.workflow.1062.1	Intergalactic Workflow Commission (IWC)	True	False
pathogen-detection-pathogfair-samples-aggregation-and-visualisation/main	WorkflowHub	1060	https://workflowhub.eu/workflows/1060?version=1	Engy Nasr, Bérénice Batut, Paul Zierep		2024-06-26	2026-05-13	1	1	60.0	Count1, tp_replace_in_column, __FILTER_EMPTY_DATASETS__, fasta_merge_files_and_filter_unique_sequences, clustalw, tp_sorted_uniq, tp_split_on_column, ggplot2_heatmap, Remove beginning1, tab2fasta, fasta2tab, Cut1, regexColumn1, collapse_dataset, newick_display, bedtools_getfastabed, regex1, Grouping1, tp_multijoin_tool, fasttree, __FILTER_FAILED_DATASETS__, collection_column_join	Multiple sequence alignment, Phylogenetic tree analysis, Phylogenetic tree reconstruction, Phylogenetic tree generation, Mapping, Visualisation		MIT	10.48546/workflowhub.workflow.1060.1	Intergalactic Workflow Commission (IWC)	True	False
taxonomy-profiling-and-visualization-with-krona/main	WorkflowHub	1059	https://workflowhub.eu/workflows/1059?version=1	Engy Nasr, Bérénice Batut, Paul Zierep		2024-06-26	2026-05-13	1	1	3.0	kraken2, krakentools_kreport2krona, taxonomy_krona_chart	Visualisation, Aggregation, Taxonomic classification		MIT	10.48546/workflowhub.workflow.1059.1	Intergalactic Workflow Commission (IWC)	True	False
bacterial_genome_annotation/main	WorkflowHub	1050	https://workflowhub.eu/workflows/1050?version=13	ABRomics None, Pierre Marin, Clea Siguret	abromics, annotation, genomics, bacterial-genomics, fasta, genome-annotation	2025-12-06	2026-05-13	13	13	6.0	tooldistillator_summarize, tooldistillator, integron_finder, bakta, isescan, plasmidfinder	Data parsing, Structural variation detection, Protein feature detection, Multilocus sequence typing, Sequence motif recognition, Genome annotation, Scaffolding, Genome assembly, Nucleic acid feature detection		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
amr_gene_detection/main	WorkflowHub	1049	https://workflowhub.eu/workflows/1049?version=9	ABRomics None, Pierre Marin, Clea Siguret	abromics, amr, amr-detection, genomics, antibiotic-resistance, antimicrobial resistance, antimicrobial-resistance-genes, bacterial-genomics, fasta	2025-12-04	2026-05-13	9	9	5.0	tooldistillator_summarize, abricate, amrfinderplus, tooldistillator, staramr_search	Data parsing, Antimicrobial resistance prediction		GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	True	False
dada2/main	WorkflowHub	790	https://workflowhub.eu/workflows/790?version=4	Matthias Bernt	name:amplicon	2026-07-02	2026-07-02	4	4	14.0	__APPLY_RULES__, dada2_assignTaxonomyAddspecies, dada2_learnErrors, dada2_plotQualityProfile, dada2_seqCounts, dada2_removeBimeraDenovo, dada2_dada, __UNZIP_COLLECTION__, dada2_mergePairs, dada2_makeSequenceTable, dada2_filterAndTrim	Variant calling, DNA barcoding		MIT		Intergalactic Workflow Commission (IWC)	True	False
Refining Genome Annotations with Apollo (prokaryotes)	WorkflowHub	749	https://workflowhub.eu/workflows/749?version=1	Anthony Bretaudeau	genome-annotation	2024-02-14	2025-11-04	1	1	5.0	list_organism, jbrowse, iframe, create_account, create_or_update	Genome visualisation		CC-BY-4.0	10.48546/workflowhub.workflow.749.1	EuroScienceGateway	True	False
TB Variant Analysis v1.0	WorkflowHub	1647	https://workflowhub.eu/workflows/1647?version=2		gtn, galaxy, pathogen, tuberculosis	2026-01-12	2026-01-12	2	2	15.0	fastp, bcftools_consensus, mosdepth, qualimap_bamqc, __FLATTEN__, tbvcfreport, EMBOSS: seqret84, snippy, tb_profiler_profile, tp_sed_tool, multiqc, kraken2, tb_variant_filter, tp_awk_tool	Global alignment, Phylogenetic tree visualisation, Sequence analysis, Validation, Taxonomic classification, Local alignment, Sequence contamination filtering, Phylogenetic tree generation, Sequence alignment analysis, Variant calling, Sequence alignment, Sequencing quality control, Antimicrobial resistance prediction		AGPL-3.0-or-later		Galaxy Training Network	True	False
Quality and contamination control in bacterial isolate using Illumina MiSeq Data	WorkflowHub	2043	https://workflowhub.eu/workflows/2043?version=1		gtn, galaxy, sequence-analysis	2025-12-22	2025-12-22	1	1	5.0	fastp, falco, recentrifuge, kraken2, est_abundance	Read mapping, Expression analysis, Cross-assembly, Taxonomic classification, Statistical calculation, Visualisation, Sequencing quality control, Sequence contamination filtering		GPL-3.0-or-later		Galaxy Training Network	True	False
Taxonomic Profiling and Visualization of Metagenomic Data	WorkflowHub	1470	https://workflowhub.eu/workflows/1470?version=2		gtn, galaxy, microbiome	2025-12-22	2025-12-22	2	2	10.0	krakentools_kreport2krona, kraken_biom, interactive_tool_pavian, metaphlan, __UNZIP_COLLECTION__, interactive_tool_phinch, kraken2, taxonomy_krona_chart, est_abundance	Genome annotation, Taxonomic classification, Statistical calculation, Aggregation, Visualisation		MIT		Galaxy Training Network	True	False
Checking expected species and contamination in bacterial isolate	WorkflowHub	1674	https://workflowhub.eu/workflows/1674?version=2		ecology, gtn, galaxy	2025-12-22	2025-12-22	2	2	3.0	kraken2, recentrifuge, est_abundance	Statistical calculation, Expression analysis, Cross-assembly, Taxonomic classification		GPL-3.0-or-later		Galaxy Training Network	True	False
Metagenomic Binning	WorkflowHub	2028	https://workflowhub.eu/workflows/2028?version=1		gtn, galaxy, microgalaxy, binning, microbiome	2025-12-08	2025-12-08	1	1	17.0	metabat2, metabat2_jgi_summarize_bam_contig_depths, __BUILD_LIST__, concoct_merge_cut_up_clustering, concoct_cut_up_fasta, Fasta_to_Contig2Bin, bowtie2, concoct_extract_fasta_bins, semibin, binette, concoct, concoct_coverage_table, maxbin2, samtools_sort	Read binning, Read mapping, Genome annotation, Sequence assembly, Sequence clustering		MIT		Galaxy Training Network	True	False
MGnify's amplicon pipeline v5.0 - ITS	WorkflowHub	1856	https://workflowhub.eu/workflows/1856?version=1		amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-11	2025-08-11	1	1	30.0	, biom_convert, __FILTER_EMPTY_DATASETS__, collection_element_identifiers, tp_awk_tool, taxonomy_krona_chart, bedtools_maskfastabed, mapseq, __FILTER_FROM_FILE__	k-mer counting, Formatting, Mapping, Visualisation		Apache-2.0		Galaxy Training Network	True	False
MAPseq to ampvis2	WorkflowHub	1855	https://workflowhub.eu/workflows/1855?version=1		gtn, galaxy, microbiome	2025-08-11	2025-08-11	1	1	9.0	collapse_dataset, query_tabular, ampvis2_load, tp_awk_tool, collection_column_join	Analysis, Visualisation		MIT		Galaxy Training Network	True	False
MGnify's amplicon pipeline v5.0 - Quality control PE	WorkflowHub	1854	https://workflowhub.eu/workflows/1854?version=1		amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-11	2025-08-11	1	1	17.0	fastqc, fastp, cshl_fasta_formatter, trimmomatic, fastq_to_fasta_python, __UNZIP_COLLECTION__, prinseq, multiqc, fastq_filter, tp_find_and_replace, mgnify_seqprep	Read pre-processing, Sequence trimming, Validation, Statistical calculation, Sequence composition calculation, Nucleic acid design, Sequencing quality control, Sequence contamination filtering		Apache-2.0		Galaxy Training Network	True	False
MGnify's amplicon pipeline v5.0	WorkflowHub	1853	https://workflowhub.eu/workflows/1853?version=1		amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-11	2025-08-11	1	1	20.0	, __MERGE_COLLECTION__, CONVERTER_uncompressed_to_gz, fastq_dl, tp_awk_tool, CONVERTER_gz_to_uncompressed			Apache-2.0		Galaxy Training Network	True	False
MGnify amplicon summary tables	WorkflowHub	1851	https://workflowhub.eu/workflows/1851?version=1		amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-11	2025-08-11	1	1	10.0	query_tabular, Grouping1, filter_tabular, tp_awk_tool, collection_column_join			MIT		Galaxy Training Network	True	False
MGnify's amplicon pipeline v5.0 - Quality control SE	WorkflowHub	1850	https://workflowhub.eu/workflows/1850?version=1		amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-11	2025-08-11	1	1	14.0	fastqc, cshl_fasta_formatter, trimmomatic, fastq_to_fasta_python, prinseq, multiqc, fastq_filter, tp_find_and_replace	Read pre-processing, Sequence trimming, Validation, Statistical calculation, Sequence composition calculation, Sequencing quality control, Sequence contamination filtering		Apache-2.0		Galaxy Training Network	True	False
MGnify's amplicon pipeline v5.0 - rRNA prediction	WorkflowHub	1842	https://workflowhub.eu/workflows/1842?version=1		amplicon, gtn, galaxy, metagenomics, mgnify_amplicon, name:microgalaxy	2025-08-04	2025-08-11	1	1	47.0	, __FILTER_FROM_FILE__, query_tabular, cshl_fasta_formatter, biom_convert, bedtools_getfastabed, cmsearch_deoverlap, gops_concat_1, taxonomy_krona_chart, infernal_cmsearch, collection_element_identifiers, tp_awk_tool, mapseq, __FILTER_EMPTY_DATASETS__	k-mer counting, Formatting, Nucleic acid feature detection, Comparison, Mapping, Alignment, Visualisation		Apache-2.0		Galaxy Training Network	True	False
Workflow 3: Functional Information (quick)	WorkflowHub	1447	https://workflowhub.eu/workflows/1447?version=2		asaim, gtn, galaxy, metagenomics	2025-07-14	2025-07-14	2	2	12.0	humann_regroup_table, humann_unpack_pathways, humann_renorm_table, humann_rename_table, humann_split_stratified_table, tp_find_and_replace, Grep1, Cut1, combine_metaphlan2_humann2	Species frequency estimation, Phylogenetic analysis, Taxonomic classification		MIT		Galaxy Training Network	True	False
Building an amplicon sequence variant (ASV) table from 16S data using DADA2	WorkflowHub	1395	https://workflowhub.eu/workflows/1395?version=2		gtn, galaxy, microbiome	2025-07-07	2025-07-07	2	2	21.0	dada2_assignTaxonomyAddspecies, dada2_learnErrors, dada2_plotQualityProfile, tp_replace_in_line, cat1, dada2_makeSequenceTable, dada2_seqCounts, dada2_removeBimeraDenovo, Add_a_column1, tp_replace_in_column, tp_head_tool, dada2_dada, __UNZIP_COLLECTION__, __SORTLIST__, phyloseq_from_dada2, dada2_mergePairs, collection_element_identifiers, dada2_filterAndTrim	Analysis, Deposition, Variant calling, DNA barcoding, Visualisation		MIT		Galaxy Training Network	True	False
Metatranscriptomics analysis using microbiome RNA-seq data	WorkflowHub	1466	https://workflowhub.eu/workflows/1466?version=2		gtn, galaxy, microbiome	2025-06-23	2025-06-23	2	2	33.0	combine_metaphlan_humann, humann, export2graphlan, metaphlan, tp_sort_header_tool, humann_renorm_table, humann_rename_table, humann_split_stratified_table, bg_sortmerna, graphlan, fastqc, cutadapt, graphlan_annotate, tp_find_and_replace, Grep1, Cut1, humann_regroup_table, Grouping1, fastq_paired_end_interlacer, multiqc, humann_unpack_pathways, taxonomy_krona_chart	Sequence trimming, Taxonomic classification, Phylogenetic analysis, Sequence alignment analysis, Statistical calculation, Sequencing quality control, Species frequency estimation, Primer removal, Read pre-processing, Phylogenetic inference, Phylogenetic tree visualisation, Conversion, Validation, Phylogenetic tree editing, Sequence composition calculation, Aggregation, Sequence similarity search, Sequence comparison, Visualisation		MIT		Galaxy Training Network	True	False
Metatranscriptomics analysis using microbiome RNA-seq data - Workflow 2: Community profile	WorkflowHub	1451	https://workflowhub.eu/workflows/1451?version=2		gtn, galaxy, microbiome	2025-06-23	2025-06-23	2	2	6.0	export2graphlan, graphlan, metaphlan, graphlan_annotate, Cut1, taxonomy_krona_chart	Phylogenetic inference, Phylogenetic tree visualisation, Conversion, Taxonomic classification, Phylogenetic tree editing, Visualisation		MIT		Galaxy Training Network	True	False
Metatranscriptomics analysis using microbiome RNA-seq data - Workflow 1: Preprocessing	WorkflowHub	1444	https://workflowhub.eu/workflows/1444?version=2		gtn, galaxy, microbiome	2025-06-23	2025-06-23	2	2	6.0	fastqc, cutadapt, fastq_paired_end_interlacer, multiqc, bg_sortmerna	Primer removal, Read pre-processing, Sequence trimming, Validation, Sequence composition calculation, Sequence similarity search, Sequence alignment analysis, Statistical calculation, Sequence comparison, Sequencing quality control		MIT		Galaxy Training Network	True	False
Metatranscriptomics analysis using microbiome RNA-seq data - Workflow 3: Functional Information	WorkflowHub	1456	https://workflowhub.eu/workflows/1456?version=2		gtn, galaxy, microbiome	2025-06-23	2025-06-23	2	2	18.0	humann_regroup_table, humann_renorm_table, humann, humann_rename_table, humann_split_stratified_table, tp_find_and_replace, Grep1, humann_unpack_pathways, tp_sort_header_tool	Species frequency estimation, Phylogenetic analysis, Taxonomic classification		MIT		Galaxy Training Network	True	False
Assembly of metagenomic sequencing data	WorkflowHub	1390	https://workflowhub.eu/workflows/1390?version=2		gtn, galaxy, microbiome	2025-06-16	2025-06-16	2	2	9.0	bandage_info, coverm_contig, quast, bowtie2, megahit, metaspades, bandage_image, megahit_contig2fastg, collection_column_join	Sequence assembly validation, Sequence assembly visualisation, Read mapping, Genome assembly, Local alignment, Visualisation		MIT		Galaxy Training Network	True	False
Taxonomic Analysis of eDNA	WorkflowHub	1723	https://workflowhub.eu/workflows/1723?version=1		ecology, gtn, galaxy	2025-06-02	2025-06-02	1	1	8.0	Count1, fastp, ncbi_blastn_wrapper, cshl_fastq_to_fasta	Sequencing quality control, Sequence contamination filtering		CC-BY-4.0		Galaxy Training Network	True	False
Quality and contamination control in bacterial isolate using Illumina MiSeq Data	WorkflowHub	1644	https://workflowhub.eu/workflows/1644?version=1		gtn, galaxy, sequence-analysis	2025-06-02	2025-06-02	1	1	6.0	fastp, falco, recentrifuge, kraken2, est_abundance	Read mapping, Expression analysis, Cross-assembly, Taxonomic classification, Statistical calculation, Visualisation, Sequencing quality control, Sequence contamination filtering		GPL-3.0-or-later		Galaxy Training Network	True	False
pox-virus-tiled-amplicon-ref-masking	WorkflowHub	1632	https://workflowhub.eu/workflows/1632?version=1		gtn, galaxy, variant-analysis	2025-06-02	2025-06-02	1	1	14.0	compose_text_param, fasta_compute_length, Add_a_column1, EMBOSS: maskseq51, Grep1, Cut1, param_value_from_file, datamash_ops	Global alignment, Sequence analysis, Sequence alignment analysis, Local alignment, Sequence alignment		MIT		Galaxy Training Network	True	False
