Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	To keep	Deprecated
ERGA Long reads-only Assembly+QC Hifiasm v2505 (WF2)	WorkflowHub	1162	https://workflowhub.eu/workflows/1162?version=2	Diego De Panis	assembly, erga, hifi, ont, qc	2025-05-30	2026-05-13	2	2	22.0	busco, merqury, gfa_to_fa, bandage_image, param_value_from_file, gfastats, hifiasm	Data handling, Sequence assembly validation, k-mer counting, Phasing, De-novo assembly, Sequence assembly visualisation, Genome assembly, Scaffolding	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA-BGE Genome Report ASM analyses (one-asm WGS Illumina PE + HiC)	WorkflowHub	1103	https://workflowhub.eu/workflows/1103?version=3	Diego De Panis	biodiversity, genome assembly, genomics, qc	2024-11-04	2026-05-13	3	3	45.0	hicexplorer_hicplotmatrix, pick_value, bg_diamond, datasets_download_genome, __EXTRACT_DATASET__, tp_text_file_with_recurring_lines, pairtools_sort, cooler_cload_tabix, CONVERTER_fasta_to_fai, bwa_mem2, gfastats, fasterq_dump, fastp, blobtoolkit, pairtools_dedup, Cut1, pairtools_split, lftp, collapse_dataset, rseqc_bam_stat, pairtools_parse, smudgeplot, __FLATTEN__, genomescope, hicexplorer_hicmergematrixbins, busco, sam_merge2, merqury, cooler_csort_tabix, meryl, sambamba_merge, bedtools_makewindowsbed, sambamba_flagstat	Sequence assembly validation, Sequence trimming, De-novo assembly, Data parsing, Sequence alignment, Data deposition, Sequence database search, Sequence alignment analysis, Sequencing quality control, Data handling, k-mer counting, Sequence contamination filtering, Phasing, Data retrieval, Genome assembly, Genotyping, Scaffolding, Mapping, Visualisation	Genomics	MIT		ERGA Assembly	False	False
ERGA ONT+Illumina Assembly+QC NextDenovo+HyPo v2403 (WF2)	WorkflowHub	789	https://workflowhub.eu/workflows/789?version=1	Diego De Panis	name:assembly+qc, name:erga, name:illumina, name:ont	2024-03-11	2026-05-13	1	1	21.0	minimap2, tables_arithmetic_operations, Add_a_column1, __FLATTEN__, busco, bwa_mem2, merqury, gfa_to_fa, bandage_image, sam_merge2, hypo, nextdenovo, param_value_from_file, gfastats, datamash_ops	Data handling, Sequence assembly validation, k-mer counting, De-novo assembly, Pairwise sequence alignment, Phasing, Sequence assembly visualisation, Scaffolding, Optimisation and refinement, Genome assembly, Sequence alignment	Whole genome sequencing	MIT		ERGA Assembly	False	False
ERGA ONT+Illumina Assembly+QC Flye+HyPo v2403 (WF2)	WorkflowHub	788	https://workflowhub.eu/workflows/788?version=1	Diego De Panis	name:assembly+qc, name:erga, name:illumina, name:ont	2024-03-11	2026-05-13	1	1	16.0	minimap2, __FLATTEN__, flye, busco, bwa_mem2, merqury, sam_merge2, bandage_image, hypo, param_value_from_file, gfastats	Data handling, Sequence assembly validation, k-mer counting, De-novo assembly, Pairwise sequence alignment, Cross-assembly, Mapping assembly, Phasing, Sequence assembly visualisation, Scaffolding, Optimisation and refinement, Genome assembly, Sequence alignment	Whole genome sequencing	MIT		ERGA Assembly	False	False
ERGA HiC Collapsed Scaffolding+QC YaHS v2311 (WF4)	WorkflowHub	702	https://workflowhub.eu/workflows/702?version=1	Diego De Panis	erga, hic, name:assembly+qc	2024-01-09	2026-05-13	1	1	16.0	pretext_map, yahs, gfastats, busco, bwa_mem2, bellerophon, gfa_to_fa, merqury, param_value_from_file, pretext_snapshot	Data handling, Sequence assembly validation, k-mer counting, De-novo assembly, Phasing, Scaffolding, Genome assembly, Sequence alignment	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA ONT+Illumina Collapsed Purge+QC v2311 (WF3)	WorkflowHub	701	https://workflowhub.eu/workflows/701?version=1	Diego De Panis	erga, illumina, name:assembly+qc	2024-01-09	2026-05-13	1	1	14.0	minimap2, purge_dups, busco, merqury, gfa_to_fa, param_value_from_file, gfastats	Read binning, Sequence assembly validation, k-mer counting, Data handling, De-novo assembly, Pairwise sequence alignment, Phasing, Genome assembly, Scaffolding	Whole genome sequencing	MIT		ERGA Assembly	True	False
ERGA Profiling Illumina v2311 (WF1)	WorkflowHub	698	https://workflowhub.eu/workflows/698?version=1	Diego De Panis	erga, illumina, name:profiling	2024-01-08	2026-05-13	1	1	17.0	smudgeplot, Add_a_column1, genomescope, tp_grep_tool, meryl, tp_find_and_replace, Cut1, param_value_from_file, Convert characters1, tp_cut_tool	k-mer counting, Genotyping, Sequence trimming	Whole genome sequencing	MIT		ERGA Assembly	False	False
ERGA HiFi Hap1Hap2 Purge+QC v2309 (WF3)	WorkflowHub	606	https://workflowhub.eu/workflows/606?version=2	Diego De Panis	assembly+qc, erga, hifi	2024-01-02	2026-05-13	2	1	24.0	minimap2, purge_dups, busco, merqury, gfa_to_fa, param_value_from_file, gfastats	Read binning, Sequence assembly validation, k-mer counting, Data handling, De-novo assembly, Pairwise sequence alignment, Phasing, Genome assembly, Scaffolding	Whole genome sequencing	MIT	10.48546/workflowhub.workflow.606.2	ERGA Assembly	False	False
ERGA HiC Hap1Hap2 Scaffolding+QC YaHS v2309 (WF4)	WorkflowHub	608	https://workflowhub.eu/workflows/608?version=1	Diego De Panis	assembly+qc, erga, hi-c	2023-10-11	2026-05-13	1	1	30.0	pretext_map, yahs, gfastats, busco, bwa_mem2, bellerophon, gfa_to_fa, merqury, param_value_from_file, pretext_snapshot	Data handling, Sequence assembly validation, k-mer counting, De-novo assembly, Phasing, Scaffolding, Genome assembly, Sequence alignment	Whole genome sequencing	MIT	10.48546/workflowhub.workflow.608.1	ERGA Assembly	True	False
Refining Genome Annotations with Apollo (prokaryotes)	WorkflowHub	749	https://workflowhub.eu/workflows/749?version=1	Anthony Bretaudeau	genome-annotation	2024-02-14	2025-11-04	1	1	5.0	list_organism, jbrowse, iframe, create_account, create_or_update	Genome visualisation		CC-BY-4.0	10.48546/workflowhub.workflow.749.1	EuroScienceGateway	True	False
GigaScience_Peptide_Annotation_demonstration_STS26T_neoantigen_candidates_workflow	WorkflowHub	1790	https://workflowhub.eu/workflows/1790?version=1		gtn, galaxy, name:neoantigen	2025-07-07	2025-07-07	1	1	11.0	"query_tabular, converting pipes to columns
Convert characters1, pep_pointer, converting colons to columns
Convert characters1, tab2fasta, regexColumn1"			GPL-3.0-or-later		Galaxy Training Network	True	False
Workflow 'Biodiversity data exploration tuto'	WorkflowHub	1693	https://workflowhub.eu/workflows/1693?version=1		ecology, gtn, galaxy	2025-06-02	2025-06-02	1	1	6.0	ecology_stat_presence_abs, ecology_beta_diversity, tool_anonymization, ecology_presence_abs_abund, ecology_homogeneity_normality, ecology_link_between_var			CC-BY-4.0		Galaxy Training Network	True	False
Metagenomics assembly tutorial workflow	WorkflowHub	1634	https://workflowhub.eu/workflows/1634?version=1		gtn, galaxy	2025-06-02	2025-06-02	1	1	8.0	bandage_info, quast, bowtie2, megahit, metaspades, bandage_image, megahit_contig2fastg, collection_column_join	Sequence assembly validation, Sequence assembly visualisation, Read mapping, Genome assembly, Visualisation		CC-BY-4.0		Galaxy Training Network	True	False
Bacterial Genome Annotation	WorkflowHub	1513	https://workflowhub.eu/workflows/1513?version=1		gtn, galaxy, genome-annotation	2025-06-02	2025-06-02	1	1	10.0	tp_replace_in_column, jbrowse, Grouping1, integron_finder, bakta, isescan, tbl2gff3, plasmidfinder, tp_tail_tool	Genome visualisation, Structural variation detection, Protein feature detection, Multilocus sequence typing, Sequence motif recognition, Genome annotation, Scaffolding, Genome assembly, Nucleic acid feature detection		AGPL-3.0-or-later		Galaxy Training Network	False	False
Genome Annotation with Prokka	WorkflowHub	1497	https://workflowhub.eu/workflows/1497?version=1		gtn, galaxy, genome-annotation	2025-06-02	2025-06-02	1	1	2.0	jbrowse, prokka	Genome visualisation, Gene prediction, Genome annotation, Coding region prediction		GPL-3.0-or-later		Galaxy Training Network	True	False
"WGS Part In ""Analyses Of Metagenomics Data - The Global Picture"""	WorkflowHub	1472	https://workflowhub.eu/workflows/1472?version=1		gtn, galaxy, microbiome	2025-06-02	2025-06-02	1	1	7.0	humann2, humann2_regroup_table, metaphlan2krona, metaphlan2, taxonomy_krona_chart, humann2_renorm_table	Visualisation		CC-BY-4.0		Galaxy Training Network	False	False
GigaScience_Peptide_Annotation_demonstration_STS26T_neoantigen_candidates_workflow	WorkflowHub	1457	https://workflowhub.eu/workflows/1457?version=1		gtn, galaxy, name:neoantigen	2025-06-02	2025-06-02	1	1	11.0	"query_tabular, converting pipes to columns
Convert characters1, pep_pointer, converting colons to columns
Convert characters1, tab2fasta, regexColumn1"			GPL-3.0-or-later		Galaxy Training Network	False	False
Secreted Proteins Via GO Annotation And WoLF PSORT For shCTSB Paper	WorkflowHub	1417	https://workflowhub.eu/workflows/1417?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	28.0	"GO:0009986 ""cell surface""
term_id_vs_term_name, GO:0009986 ""cell surface""
get_subontology_from, wolf_psort, Removes comment lines at the head of the Uniprot Go database file.
Grep1, GO:0005764 ""lysosome""
term_id_vs_term_name, Filters all proteins that are predicted to reside in lysosomes.
Filter1, GO:0043230 ""extracellular organelle""
get_subontology_from, tp_sorted_uniq, Extracts uniprot accessions from all proteins in the input list that are predicted by WolfPsort to be lysosomal and/or extracellular.
Convert characters1, GO:0043230 ""extracellular organelle""
term_id_vs_term_name, tp_cut_tool, GO:0005764 ""lysosome""
get_subontology_from, Filters all proteins that are predicted to reside extracellularly.
Filter1, filters out all proteins in the input protein list of interest that are annotated as ""extracellular region"" and ""lysosome"" and ""plasma membrane"" excluding ""extracellular organelle"" and ""cytoplasmic side of plasma membrane""
comp1, GO:0005887 ""integral component of plasma membrane""
term_id_vs_term_name, GO:0005887 ""integral component of plasma membrane""
get_subontology_from, tp_easyjoin_tool, GO:0005576 ""extracellular region""
term_id_vs_term_name, GO:0005576 ""extracellular region""
get_subontology_from, uniprot, bg_uniq"			CC-BY-4.0		Galaxy Training Network	False	False
'Proteome Annotation'	WorkflowHub	1414	https://workflowhub.eu/workflows/1414?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	9.0	retrieve_from_hpa, MQoutputfilter, reactome_analysis, cluter_profiler, Jvenn, rna_abbased_data, IDconverter			CC-BY-4.0		Galaxy Training Network	False	False
ProteoRE ProteomeAnnotation Tutorial (release 2.0)	WorkflowHub	1411	https://workflowhub.eu/workflows/1411?version=1		gtn, galaxy, proteomics	2025-06-02	2025-06-02	1	1	9.0	retrieve_from_hpa, reactome_analysis, MQoutputfilter, cluter_profiler, Jvenn, rna_abbased_data, IDconverter			CC-BY-4.0		Galaxy Training Network	False	False
ONT -- Metagenomics-Kraken2-Krona	WorkflowHub	53	https://workflowhub.eu/workflows/53?version=1	Milad Miladi	ont	2020-08-05	2026-05-13	1	1	4.0	kraken2, taxonomy_krona_chart, tp_replace_in_line, datamash_reverse	Visualisation, Taxonomic classification		MIT		NanoGalaxy	True	False
Biodiversity data exploration tutorial	WorkflowHub	656	https://workflowhub.eu/workflows/656?version=1	Yvan Le Bras, Coline Royaux, Marie Jossé	biodiversity, ecology	2023-11-09	2026-05-13	1	1	6.0	ecology_stat_presence_abs, ecology_beta_diversity, tool_anonymization, ecology_presence_abs_abund, ecology_homogeneity_normality, ecology_link_between_var		Biodiversity, Ecology	CC-BY-4.0	10.48546/workflowhub.workflow.656.1	PNDB	True	False
Population and community metrics calculation from Biodiversity data	WorkflowHub	49	https://workflowhub.eu/workflows/49?version=2	Yvan Le Bras, Coline Royaux	biodiversity, community_metrics, ecology, glm, modeling, presence_absence, species abundance, statistics	2020-07-24	2026-05-13	2	1	4.0				MIT	10.48546/workflowhub.workflow.49.2	PNDB	True	False
OMERO Nuclei Cell Counting, Image Import, Annotation and Region of Interests (ROIs) Workflow	WorkflowHub	1259	https://workflowhub.eu/workflows/1259?version=1	Riccardo Massei	fair, fair workflows, omero, rdm, workflows, bioimaging, imaging	2025-01-28	2026-05-13	1	1	20.0	split_file_to_collection, omero_filter, Convert characters1, ip_threshold, omero_metadata_import, omero_roi_import, ip_histogram_equalization, imagej2_analyze_particles_binary, ip_binary_to_labelimage, omero_import, tp_find_and_replace, ip_2d_feature_extraction, tp_replace_in_column, param_value_from_file, ip_convertimage, collection_element_identifiers, tp_awk_tool, ip_filter_standard	Image analysis, Data handling, Image annotation, Visualisation	Bioimaging, Imaging	MIT	10.48546/workflowhub.workflow.1259.1	UFZ - Image Data Management and Processing Workflows	False	False
OMERO Image Import, Annotation and Region of Interests (ROIs) Workflow	WorkflowHub	1258	https://workflowhub.eu/workflows/1258?version=1	Riccardo Massei, Matthias Bernt	fair, fair workflows, omero, rdm, workflows, bioimaging, imaging	2025-01-28	2026-05-13	1	1	7.0	omero_metadata_import, Convert characters1, omero_import, split_file_to_collection, omero_roi_import, tp_replace_in_line, param_value_from_file	Image analysis		MIT	10.48546/workflowhub.workflow.1258.1	UFZ - Image Data Management and Processing Workflows	False	False
Workflow CESAB Biodiversity data training 2025 - data access exercise bonus	https://usegalaxy.eu	39366728f462b4f1	https://usegalaxy.eu/published/workflow?id=39366728f462b4f1		cesab, frb, gbif, pndb, biodiversity, data, occurences, map, gis, spatial, training	2025-11-06	2025-11-06	12	12		collapse_dataset, interactive_tool_jupyter_notebook, cat1, Remove beginning1, tp_text_file_with_recurring_lines, lftp			MIT			True	False
Workflow CESAB Biodiversity data training 2025 - data access exercise 1	https://usegalaxy.eu	a52ea1bae6683dce	https://usegalaxy.eu/published/workflow?id=a52ea1bae6683dce		cesab, frb, gbif, pndb, biodiversity, data, download, training	2025-11-05	2025-11-06	15	15		collapse_dataset, interactive_tool_jupyter_notebook, tp_text_file_with_recurring_lines, lftp			MIT			True	False
Workflow CESAB Biodiversity data training 2025 - data access exercise 2	https://usegalaxy.eu	ca0775b90e12a784	https://usegalaxy.eu/published/workflow?id=ca0775b90e12a784		cesab, gbif, pndb, biodiversity, data, occurences, training	2025-11-05	2025-11-06	9	9		collapse_dataset, interactive_tool_jupyter_notebook, tp_text_file_with_recurring_lines, lftp			MIT			True	False
Obitools eDNA metabarcoding	https://usegalaxy.eu	afad9a17a80bb26d	https://usegalaxy.eu/published/workflow?id=afad9a17a80bb26d		ecology, biodiversity, edna	2023-11-09	2025-09-12	1	1		fastqc, ncbi_blastn_wrapper, obi_stat, join1, obi_clean, wc_gnu, seq_filter_by_id, obi_uniq, Cut1, Filter1, unzip, fastq_groomer, obi_tab, obi_ngsfilter, obi_grep, obi_annotate, obi_illumina_pairend	Statistical calculation, Sequence composition calculation, Sequencing quality control		MIT			True	False
Satellite data for biodiversity	https://usegalaxy.eu	1d2cd0af01a30a46	https://usegalaxy.eu/published/workflow?id=1d2cd0af01a30a46	Marie Josse	ecology, earth-system, satellite	2023-03-01	2024-05-27	5	5		srs_diversity_maps, srs_global_indices, srs_spectral_indices, srs_preprocess_s2			MIT			True	False
Obis biodiversity indicator on Asian pacific	https://usegalaxy.eu	9e05bd65faf58ab3	https://usegalaxy.eu/published/workflow?id=9e05bd65faf58ab3			2023-03-13	2023-11-10	2	2		csv_to_tabular, obisindicators, tp_cut_tool, Filter1						True	False
Remote sensing Sentinel 2 data analysis to produce biodiversity metrics	https://usegalaxy.eu	da88448ab15d167d	https://usegalaxy.eu/published/workflow?id=da88448ab15d167d			2023-11-09	2023-11-09	1	1		srs_diversity_maps, srs_global_indices, srs_spectral_indices, srs_preprocess_s2						True	False
Compute and analyze biodiversity metrics with PAMPA toolsuite	https://usegalaxy.eu	d33ab07e4cf44f8c	https://usegalaxy.eu/published/workflow?id=d33ab07e4cf44f8c		ecology	2021-02-24	2021-02-24	0	0		Count1, pampa_glmsp, pampa_communitymetrics, pampa_glmcomm, regex1, pampa_presabs, Filter1, mergeCols1, pampa_plotglm, tp_sort_header_tool, tp_cut_tool, regexColumn1, tp_cat, datamash_transpose						True	False
16S_biodiversity_BIOM	https://usegalaxy.org.au	ca6f29110df8dadc	https://usegalaxy.org.au/published/workflow?id=ca6f29110df8dadc		metadegalaxy	2019-03-21	2021-04-01	9	9		biom_convert, phyloseq_DESeq2, phyloseq_abundance, symmetricPlot, phyloseq_net, phyloseq_richness, phyloseq_taxonomy, biom_add_metadata	Formatting					True	False
16S_biodiversity_for_nonoverlap_paired_end	https://usegalaxy.org.au	869440d35a618836	https://usegalaxy.org.au/published/workflow?id=869440d35a618836		metadegalaxy	2019-03-21	2021-04-01	18	18		uclust2otutable, vsearch_clustering, cat1, vsearch_search, symmetricPlot, phyloseq_net, vsearch_chimera_detection, cat_multi_datasets, phyloseq_taxonomy, addValue, biom_convert, trimmomatic, bwa_mem, fastqc, picard_FilterSamReads, Cut1, phyloseq_richness, biom_add_metadata, vsearch_dereplication, samtools_fastx, phyloseq_DESeq2, phyloseq_abundance	Formatting, DNA mapping, Sequence composition calculation, Generation, Read mapping, Statistical calculation, Genome indexing, Chimera detection, Sequence alignment, Sequencing quality control					True	False
16S_biodiversity_for_overlap_paired_end	https://usegalaxy.org.au	14e80b7f9f68ec2a	https://usegalaxy.org.au/published/workflow?id=14e80b7f9f68ec2a		metadegalaxy	2019-03-21	2021-04-01	16	16		uclust2otutable, cat1, vsearch_clustering, vsearch_search, symmetricPlot, picard_MergeSamFiles, phyloseq_net, vsearch_chimera_detection, phyloseq_taxonomy, addValue, biom_convert, trimmomatic, bwa_mem, fastqc, iuc_pear, picard_FilterSamReads, Cut1, phyloseq_richness, biom_add_metadata, vsearch_dereplication, samtools_fastx, phyloseq_DESeq2, phyloseq_abundance	Formatting, DNA mapping, Sequence composition calculation, Sequence merging, Generation, Read mapping, Statistical calculation, Genome indexing, Chimera detection, Sequence alignment, Sequencing quality control					True	False
